INFO , [2016-09-26 11:04:17.546], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQWEBVIEW], Server Mode, buffer mode
INFO , [2016-09-26 11:04:17.572], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [MANAGER], RunType, 1, RQ_DIRECT_TYPE
ERROR, [2016-09-26 11:04:17.573], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : java.lang.NullPointerException
ERROR, [2016-09-26 11:04:17.573], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : java.lang.Class.forName0(Native Method)
ERROR, [2016-09-26 11:04:17.573], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : java.lang.Class.forName(Class.java:171)
ERROR, [2016-09-26 11:04:17.573], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : com.sds.rqreport.service.queryexecute.RQGetDataStr.connect(RQGetDataStr.java:64)
ERROR, [2016-09-26 11:04:17.573], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : com.sds.rqreport.service.queryexecute.RQGetDataStr.makeConnection(RQGetDataStr.java:50)
ERROR, [2016-09-26 11:04:17.574], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : com.sds.rqreport.service.queryexecute.RQGetDataStr.getRQResult(RQGetDataStr.java:165)
ERROR, [2016-09-26 11:04:17.574], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : com.sds.rqreport.service.cache.RunCacheContainer.runRQContent(RunCacheContainer.java:81)
ERROR, [2016-09-26 11:04:17.574], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : com.sds.rqreport.service.cache.RunCacheContainer.runRQResultSet(RunCacheContainer.java:211)
ERROR, [2016-09-26 11:04:17.574], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : com.sds.rqreport.service.cache.CacheManager.getResultSet(CacheManager.java:106)
ERROR, [2016-09-26 11:04:17.574], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : com.sds.rqreport.service.RQView.getRqview(RQView.java:555)
ERROR, [2016-09-26 11:04:17.574], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : com.sds.rqreport.service.RQView.doStartTag(RQView.java:105)
ERROR, [2016-09-26 11:04:17.575], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.jsp.RQDataset_jsp._jspService(RQDataset_jsp.java:148)
ERROR, [2016-09-26 11:04:17.575], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : org.apache.jasper.runtime.HttpJspBase.service(HttpJspBase.java:70)
ERROR, [2016-09-26 11:04:17.575], RQServer, http-bio-8080-exec-7, userip=0:0:0:0:0:0:0:1, doc=/test/acgm0302_prt.rqx, [RQQRYEXE], trace : javax.servlet.http.HttpServlet.service(HttpServlet.java:731)
